index,IPA Transcription,Gloss,Translation,Word
0,ɛ̀vɛ̀,,vegetable,
1,ɛ̀vɛ̀ jìtʃə̀lò,CLj.vegetables CLj-good,vegetables are good,ɛ̀vɛ̀ jì-tʃə̀lò
2,ɪ́ŋgɛ́lǎ ŋ̀gáíjà ɛ̀vɛ̀,,I am going to eat vegetables,
3,tʃàt̪à,,today,
4,ɪ́ŋgɛ́là ŋgáíjà ɛ̀vɛ̀ tʃàt̪à,1SG-CLg-go-TAM CLg-AUX-eat-IPFV.AND CLj.vegetables.ACC today,I am going to eat vegetables today,ɪ́ŋ-g-ɛ́l-à ŋg-á-í-à ɛ̀vɛ̀ tʃàt̪à
5,líɖì,,pot,
6,líɖí lìtʃə̀lò,CLl.pot CLl-good,The pot is good,líɖí lì-tʃə̀lò
7,ɛ̀vɛ̌,,vegetable,
8,lɛ̀ɖɛ̀,,coconut,lɛ̀ɖɛ́
9,lɛ̀ɖɛ́ lìtʃə̀lò,CLl.coconut CL-good,The coconut is good,lɛ̀ɖɛ́ lì-tʃə̀lò
10,ɛ̀ðɛ̌,,vegetable,ɛ̀ðɛ̀
11,lɛ̀ɖɛ̌,,coconut,lɛ̀ɖɛ́
12,ɛ̀ðɛ̀,,vegetable,
13,lɛ̀ɖè,,coconut (?),
14,lʈʊ́,,fist,
15,lʊ̀ʈʊ̀,,fist,
16,lʈʊ̌ lìtʃə̀lò,,The fist is good,
17,lʊ̀ʈʊ̂ʊ́ lìtʃə̀lò,,The fist is good,
18,lʊ̀ʈʊ́ lìtʃə̀lò,CLl.fist CLl-good,The fist is good,lʊ̀ʈʊ́ lì-tʃə̀lò
19,lʊ̀ʈʊ̌ lìtʃə̀lò,,The fist is good,
20,ŋ̀gágéɲǎ lìɖí ndòbà,,He is going to break the pot tomorrow,ŋgágéɲà lìɖí ndòbà
21,ŋ̀gágéɲà lìɖí ndòbà,CLg-AUX-break-IPFV.AND CLl.pot.ACC tomorrow,He is going to break the pot tomorrow,ŋg-á-géɲ-à lìɖí ndòbà
22,ŋgágéɲà lɛ̀ɖé ndòbà,CLg-AUX-break-IPFV.AND CLl.coconut.ACC tomorrow,He is going to break the coconut tomorrow,ŋg-á-géɲ-à lɛ̀ɖé ndòbà
23,ŋgá ɔ́dǎ lʊ̀ʈʊ́ ndòbà,,He is going to build a small house tomorrow,
24,ŋgá ɔ́dːà lʊ̀ʈʊ́ ndòbà,CLg-AUX build-IPFV.AND CLl?small.house.ACC tomorrow,He is going to build a small house tomorrow,ŋg-á ɔ́dː-à lʊ̀ʈʊ́ ndòbà
25,ŋgá ɔ́dà lʊ̀tʊ̀ ndòbà,,He is going to build a small house tomorrow,
26,kúkù kə̀ŋàtʃí kâkǎŋ lɛ́ɖɛ́ɲâ,,Kuku gave Kaka the coconut,kúkù kə̀-ŋàtʃ-í kákà-ŋ lɛ́ɖɛ́-ɲá
27,ŋ̀gágéɲà lɛ̀ɖɛ́ɲâ,,He is going to break doleib fruit,ŋ̀g-á-géɲ-à lɛ̀ɖɛ́-ɲá
28,kúkù kə̀ŋatʃí kákà lɛ̀ɖè,,Kuku was given the coconut by Kaka,kúkù kə̀-ŋàtʃ-í kákà lɛ̀ɖè
29,lɛ̀ɖɛ́ɲâ lə̀ŋàtʃí kúkù kákàŋ,,The coconut was given to Kaka by Kuku,lɛ̀ɖɛ́-ɲâ lə̀-ŋàtʃ-í kúkù kákà-ŋ
