root,old_sense,new_sense,inflection_class,merge_with
abot̪,climb (up) (ɔ a),climb up,aɔ,
abr,"jump, fly (o a)",jump,ao,
abrt̪,ride  (ɔ a),ride,aɔ,
abuð,dance (u a); dance-APPL (ɔ a),dance,aɔ,
ad,"touch (i ɔ); take, hold (nan); hug-LOC (nan)",touch,ɔi,
adij,stay (also: sit) (ɔ a),stay,aɔ,
adɔŋn,"hold-CAUS (nan); hold (stone), carry (baby) (ɔ ɔ)",,,adɔŋɔn
adɔŋɔn,hold (trough holds water) (ɔ ɔ),hold,ɔɔ,
aj,die (u a),die,au,
ajt̪,die-LOC (nan),,,aj
aleŋ,sing (ɔ a),sing,aɔ,
amac,wait (for someone) (i a),wait,ai,
amiɲ,"like, love (i a)",love,ai,
amɔn,"take care of, tend to, look after (ɔ ɔ)",care,ɔɔ,
ant̪,"enter, come/go in (ɔ ɔ)",enter,ɔɔ,
ap,"carry-BEN (nan); carry (away/towards), bring, take from (ɔ a); take, carry + PASS + CAUS (nan); carry-APPL (nan); take (from) (this looks like carry-APPL- and directional) (nan); carry-ANTIP (nan); take, carry + CAUS (nan); take, carry + PASS (nan)",carry,aɔ,
arð,"shave, cut (hair) (ɔ a); shave, cut (hair) (with applicative licensing possessor of hair) (nan)",shave,aɔ,
avt̪,put down (ɔ a); breathe (lit. put down breath) (nan),set down,aɔ,
avəl,"take up, lift (ɔ a)",lift,aɔ,
avəðac,press (i a),press,ai,
aw,urinate (o a),urinate,ao,
aŋ,see-ANTIP (u a); see-LOC-ANTIP/RECP (nan); see-LOC-ANTIP (nan); see (u a),see,au,
aŋc,show-PASS (nan); show-PASS-CAUS (nan); show (i ɔ),show,ɔi,
aŋiðɔŋin,think about (nan),think about,ɔɔ,
aŋtʃ,show-APPL (nan); show-CAUS (nan); show-CAUS-ANTIP?-APPL (nan); show-ANTIP?-CAUS-APPL (nan); show-CAUS-APPL (nan),,,aŋc
aŋt̪,see-LOC (ɔ a); enter-LOC (nan),,,ant̪
aɽ,put-CAUS (nan); put-APPL (nan); put (o a),put,ao,
aɽið,form (create) (u a),form,au,
aɽəŋat̪,fetch (ɔ a),fetch,aɔ,
aɾ,"cry, shout (nan); shout, weep (nan); shoot (cause to cry) (nan); say (+ direct quote) (ɔ a)",aɾ,aɔ,
